total_imports_exports_and_balance_trade,year,trade_type,value_million_usd
Western Europe,2019-01-01,balance_import_export,245589
Western Europe,2020-01-01,balance_import_export,205999
Western Europe,2021-01-01,balance_import_export,171650
Oceania,1995-01-01,imports,76756
Oceania,2005-01-01,imports,161435
Oceania,2010-01-01,imports,247608
Oceania,2015-01-01,imports,251607
Oceania,2019-01-01,imports,297537
Oceania,2020-01-01,imports,281852
Oceania,2021-01-01,imports,347434
Oceania,1995-01-01,exports,71642
Oceania,2005-01-01,exports,134548
Oceania,2010-01-01,exports,253360
Oceania,2015-01-01,exports,235133
Oceania,2019-01-01,exports,319387
Oceania,2020-01-01,exports,296180
Oceania,2021-01-01,exports,431679
Oceania,1995-01-01,balance_import_export,-5114
Oceania,2005-01-01,balance_import_export,-26888
Oceania,2010-01-01,balance_import_export,5752
Oceania,2015-01-01,balance_import_export,-16475
Oceania,2019-01-01,balance_import_export,21850
Oceania,2020-01-01,balance_import_export,14329
Oceania,2021-01-01,balance_import_export,84246
Australia and New Zealand,1995-01-01,imports,71338
Australia and New Zealand,2005-01-01,imports,151453
Australia and New Zealand,2010-01-01,imports,232319
Australia and New Zealand,2015-01-01,imports,236642
Australia and New Zealand,2019-01-01,imports,263753
Australia and New Zealand,2020-01-01,imports,249071
Australia and New Zealand,2021-01-01,imports,311468
Australia and New Zealand,1995-01-01,exports,66374
Australia and New Zealand,2005-01-01,exports,127740
Australia and New Zealand,2010-01-01,exports,243502
Australia and New Zealand,2015-01-01,exports,222149
Australia and New Zealand,2019-01-01,exports,305917
Australia and New Zealand,2020-01-01,exports,283923
Australia and New Zealand,2021-01-01,exports,415402
Australia and New Zealand,1995-01-01,balance_import_export,-4965
Australia and New Zealand,2005-01-01,balance_import_export,-23714
Australia and New Zealand,2010-01-01,balance_import_export,11183
Australia and New Zealand,2015-01-01,balance_import_export,-14493
Australia and New Zealand,2019-01-01,balance_import_export,42164
Australia and New Zealand,2020-01-01,balance_import_export,34852
Australia and New Zealand,2021-01-01,balance_import_export,103934
Melanesia,1995-01-01,imports,3432
Melanesia,2005-01-01,imports,5397
Melanesia,2010-01-01,imports,9665
Melanesia,2015-01-01,imports,7968
Melanesia,2019-01-01,imports,11891
Melanesia,2020-01-01,imports,9673
Melanesia,2021-01-01,imports,10917
Melanesia,1995-01-01,exports,4039
Melanesia,2005-01-01,exports,5199
Melanesia,2010-01-01,exports,8112
Melanesia,2015-01-01,exports,10998
Melanesia,2019-01-01,exports,9832
Melanesia,2020-01-01,exports,9003
Melanesia,2021-01-01,exports,12244
Melanesia,1995-01-01,balance_import_export,607
Melanesia,2005-01-01,balance_import_export,-197
Melanesia,2010-01-01,balance_import_export,-1553
Melanesia,2015-01-01,balance_import_export,3030
Melanesia,2019-01-01,balance_import_export,-2059
Melanesia,2020-01-01,balance_import_export,-669
Melanesia,2021-01-01,balance_import_export,1327
Micronesia,1995-01-01,imports,897
Micronesia,2005-01-01,imports,2379
Micronesia,2010-01-01,imports,3292
Micronesia,2015-01-01,imports,4721
Micronesia,2019-01-01,imports,18867
Micronesia,2020-01-01,imports,20625
Micronesia,2021-01-01,imports,22195
Micronesia,1995-01-01,exports,1028
Micronesia,2005-01-01,exports,1295
Micronesia,2010-01-01,exports,1508
Micronesia,2015-01-01,exports,1766
Micronesia,2019-01-01,exports,3028
Micronesia,2020-01-01,exports,2822
Micronesia,2021-01-01,exports,3502
Micronesia,1995-01-01,balance_import_export,131
Micronesia,2005-01-01,balance_import_export,-1084
Micronesia,2010-01-01,balance_import_export,-1783
Micronesia,2015-01-01,balance_import_export,-2955
Micronesia,2019-01-01,balance_import_export,-15839
Micronesia,2020-01-01,balance_import_export,-17803
Micronesia,2021-01-01,balance_import_export,-18693
Polynesia,1995-01-01,imports,1089
Polynesia,2005-01-01,imports,2206
Polynesia,2010-01-01,imports,2333
Polynesia,2015-01-01,imports,2277
Polynesia,2019-01-01,imports,3027
Polynesia,2020-01-01,imports,2483
Polynesia,2021-01-01,imports,2854
Polynesia,1995-01-01,exports,201
Polynesia,2005-01-01,exports,314
Polynesia,2010-01-01,exports,238
Polynesia,2015-01-01,exports,219
Polynesia,2019-01-01,exports,610
Polynesia,2020-01-01,exports,432
Polynesia,2021-01-01,exports,532
Polynesia,1995-01-01,balance_import_export,-887
Polynesia,2005-01-01,balance_import_export,-1893
Polynesia,2010-01-01,balance_import_export,-2095
Polynesia,2015-01-01,balance_import_export,-2058
Polynesia,2019-01-01,balance_import_export,-2417
Polynesia,2020-01-01,balance_import_export,-2050
Polynesia,2021-01-01,balance_import_export,-2322
Afghanistan,2010-01-01,imports,5154
Afghanistan,2015-01-01,imports,7723
Afghanistan,2019-01-01,imports,8568
Afghanistan,2020-01-01,imports,8266
Afghanistan,2021-01-01,imports,5493
Afghanistan,2010-01-01,exports,388
Afghanistan,2015-01-01,exports,571
Afghanistan,2019-01-01,exports,870
Afghanistan,2020-01-01,exports,783
Afghanistan,2021-01-01,exports,765
Afghanistan,2010-01-01,balance_import_export,-4766
