total_imports_exports_and_balance_trade,year,trade_type,value_million_usd
Rwanda,2010-01-01,balance_import_export,-1163
Rwanda,2015-01-01,balance_import_export,-1777
Rwanda,2019-01-01,balance_import_export,-2033
Rwanda,2020-01-01,balance_import_export,-2572
Rwanda,2021-01-01,balance_import_export,-3147
Saint Helena,1995-01-01,imports,13
Saint Helena,2005-01-01,imports,12
Saint Helena,2010-01-01,imports,20
Saint Helena,2015-01-01,imports,41
Saint Helena,2019-01-01,imports,71
Saint Helena,2020-01-01,imports,81
Saint Helena,2021-01-01,imports,93
Saint Helena,1995-01-01,exports,1
Saint Helena,2005-01-01,exports,1
Saint Helena,2010-01-01,exports,0
Saint Helena,2015-01-01,exports,0
Saint Helena,2019-01-01,exports,0
Saint Helena,2020-01-01,exports,0
Saint Helena,2021-01-01,exports,0
Saint Helena,1995-01-01,balance_import_export,-12
Saint Helena,2005-01-01,balance_import_export,-12
Saint Helena,2010-01-01,balance_import_export,-20
Saint Helena,2015-01-01,balance_import_export,-40
Saint Helena,2019-01-01,balance_import_export,-71
Saint Helena,2020-01-01,balance_import_export,-81
Saint Helena,2021-01-01,balance_import_export,-93
Saint Kitts and Nevis,1995-01-01,imports,132
Saint Kitts and Nevis,2005-01-01,imports,210
Saint Kitts and Nevis,2010-01-01,imports,270
Saint Kitts and Nevis,2015-01-01,imports,297
Saint Kitts and Nevis,2019-01-01,imports,331
Saint Kitts and Nevis,2020-01-01,imports,268
Saint Kitts and Nevis,2021-01-01,imports,263
Saint Kitts and Nevis,1995-01-01,exports,19
Saint Kitts and Nevis,2005-01-01,exports,34
Saint Kitts and Nevis,2010-01-01,exports,32
Saint Kitts and Nevis,2015-01-01,exports,32
Saint Kitts and Nevis,2019-01-01,exports,40
Saint Kitts and Nevis,2020-01-01,exports,34
Saint Kitts and Nevis,2021-01-01,exports,44
Saint Kitts and Nevis,1995-01-01,balance_import_export,-113
Saint Kitts and Nevis,2005-01-01,balance_import_export,-176
Saint Kitts and Nevis,2010-01-01,balance_import_export,-238
Saint Kitts and Nevis,2015-01-01,balance_import_export,-265
Saint Kitts and Nevis,2019-01-01,balance_import_export,-290
Saint Kitts and Nevis,2020-01-01,balance_import_export,-234
Saint Kitts and Nevis,2021-01-01,balance_import_export,-219
Saint Lucia,1995-01-01,imports,306
Saint Lucia,2005-01-01,imports,486
Saint Lucia,2010-01-01,imports,647
Saint Lucia,2015-01-01,imports,583
Saint Lucia,2019-01-01,imports,624
Saint Lucia,2020-01-01,imports,621
Saint Lucia,2021-01-01,imports,1141
Saint Lucia,1995-01-01,exports,109
Saint Lucia,2005-01-01,exports,64
Saint Lucia,2010-01-01,exports,215
Saint Lucia,2015-01-01,exports,181
Saint Lucia,2019-01-01,exports,97
Saint Lucia,2020-01-01,exports,81
Saint Lucia,2021-01-01,exports,157
Saint Lucia,1995-01-01,balance_import_export,-197
Saint Lucia,2005-01-01,balance_import_export,-422
Saint Lucia,2010-01-01,balance_import_export,-432
Saint Lucia,2015-01-01,balance_import_export,-403
Saint Lucia,2019-01-01,balance_import_export,-527
Saint Lucia,2020-01-01,balance_import_export,-540
Saint Lucia,2021-01-01,balance_import_export,-984
Saint Pierre and Miquelon,1995-01-01,imports,96
Saint Pierre and Miquelon,2005-01-01,imports,216
Saint Pierre and Miquelon,2010-01-01,imports,747
Saint Pierre and Miquelon,2015-01-01,imports,2259
Saint Pierre and Miquelon,2019-01-01,imports,3870
Saint Pierre and Miquelon,2020-01-01,imports,4402
Saint Pierre and Miquelon,2021-01-01,imports,5008
Saint Pierre and Miquelon,1995-01-01,exports,16
Saint Pierre and Miquelon,2005-01-01,exports,31
Saint Pierre and Miquelon,2010-01-01,exports,137
Saint Pierre and Miquelon,2015-01-01,exports,533
Saint Pierre and Miquelon,2019-01-01,exports,1112
Saint Pierre and Miquelon,2020-01-01,exports,1328
Saint Pierre and Miquelon,2021-01-01,exports,1587
Saint Pierre and Miquelon,1995-01-01,balance_import_export,-80
Saint Pierre and Miquelon,2005-01-01,balance_import_export,-185
Saint Pierre and Miquelon,2010-01-01,balance_import_export,-610
Saint Pierre and Miquelon,2015-01-01,balance_import_export,-1726
Saint Pierre and Miquelon,2019-01-01,balance_import_export,-2758
Saint Pierre and Miquelon,2020-01-01,balance_import_export,-3074
Saint Pierre and Miquelon,2021-01-01,balance_import_export,-3421
Saint Vincent & Grenadines,1995-01-01,imports,134
Saint Vincent & Grenadines,2005-01-01,imports,240
Saint Vincent & Grenadines,2010-01-01,imports,379
Saint Vincent & Grenadines,2015-01-01,imports,334
Saint Vincent & Grenadines,2019-01-01,imports,335
Saint Vincent & Grenadines,2020-01-01,imports,277
Saint Vincent & Grenadines,2021-01-01,imports,372
Saint Vincent & Grenadines,1995-01-01,exports,59
Saint Vincent & Grenadines,2005-01-01,exports,40
Saint Vincent & Grenadines,2010-01-01,exports,42
Saint Vincent & Grenadines,2015-01-01,exports,47
Saint Vincent & Grenadines,2019-01-01,exports,38
Saint Vincent & Grenadines,2020-01-01,exports,8
Saint Vincent & Grenadines,2021-01-01,exports,35
Saint Vincent & Grenadines,1995-01-01,balance_import_export,-75
Saint Vincent & Grenadines,2005-01-01,balance_import_export,-201
Saint Vincent & Grenadines,2010-01-01,balance_import_export,-338
Saint Vincent & Grenadines,2015-01-01,balance_import_export,-287
Saint Vincent & Grenadines,2019-01-01,balance_import_export,-297
Saint Vincent & Grenadines,2020-01-01,balance_import_export,-269
Saint Vincent & Grenadines,2021-01-01,balance_import_export,-338
Samoa,1995-01-01,imports,95
Samoa,2005-01-01,imports,239
Samoa,2010-01-01,imports,310
Samoa,2015-01-01,imports,371
Samoa,2019-01-01,imports,391
Samoa,2020-01-01,imports,410
Samoa,2021-01-01,imports,368
Samoa,1995-01-01,exports,9
Samoa,2005-01-01,exports,87
Samoa,2010-01-01,exports,70
Samoa,2015-01-01,exports,59
Samoa,2019-01-01,exports,49
Samoa,2020-01-01,exports,57
Samoa,2021-01-01,exports,29
Samoa,1995-01-01,balance_import_export,-86
Samoa,2005-01-01,balance_import_export,-151
Samoa,2010-01-01,balance_import_export,-240
Samoa,2015-01-01,balance_import_export,-312
Samoa,2019-01-01,balance_import_export,-341
Samoa,2020-01-01,balance_import_export,-352
Samoa,2021-01-01,balance_import_export,-339
Sao Tome and Principe,1995-01-01,imports,29
Sao Tome and Principe,2005-01-01,imports,50
Sao Tome and Principe,2010-01-01,imports,112
Sao Tome and Principe,2015-01-01,imports,142
Sao Tome and Principe,2019-01-01,imports,148
Sao Tome and Principe,2020-01-01,imports,138
Sao Tome and Principe,2021-01-01,imports,166
Sao Tome and Principe,1995-01-01,exports,5
Sao Tome and Principe,2005-01-01,exports,3
Sao Tome and Principe,2010-01-01,exports,6
Sao Tome and Principe,2015-01-01,exports,9
Sao Tome and Principe,2019-01-01,exports,10
Sao Tome and Principe,2020-01-01,exports,12
Sao Tome and Principe,2021-01-01,exports,19
Sao Tome and Principe,1995-01-01,balance_import_export,-24
Sao Tome and Principe,2005-01-01,balance_import_export,-46
Sao Tome and Principe,2010-01-01,balance_import_export,-106
Sao Tome and Principe,2015-01-01,balance_import_export,-133
Sao Tome and Principe,2019-01-01,balance_import_export,-138
Sao Tome and Principe,2020-01-01,balance_import_export,-126
Sao Tome and Principe,2021-01-01,balance_import_export,-147
Saudi Arabia,1995-01-01,imports,28085
Saudi Arabia,2005-01-01,imports,57233
Saudi Arabia,2010-01-01,imports,103622
Saudi Arabia,2015-01-01,imports,174786
Saudi Arabia,2019-01-01,imports,144334
Saudi Arabia,2020-01-01,imports,131313
Saudi Arabia,2021-01-01,imports,146700
Saudi Arabia,1995-01-01,exports,49030
Saudi Arabia,2005-01-01,exports,180278
Saudi Arabia,2010-01-01,exports,250577
Saudi Arabia,2015-01-01,exports,203689
Saudi Arabia,2019-01-01,exports,251800
Saudi Arabia,2020-01-01,exports,185699
Saudi Arabia,2021-01-01,exports,298163
Saudi Arabia,1995-01-01,balance_import_export,20944
Saudi Arabia,2005-01-01,balance_import_export,123045
Saudi Arabia,2010-01-01,balance_import_export,146955
Saudi Arabia,2015-01-01,balance_import_export,28903
Saudi Arabia,2019-01-01,balance_import_export,107466
Saudi Arabia,2020-01-01,balance_import_export,54386
Saudi Arabia,2021-01-01,balance_import_export,151463
Senegal,1995-01-01,imports,1413
Senegal,2005-01-01,imports,3498
Senegal,2010-01-01,imports,4777
Senegal,2015-01-01,imports,5595
Senegal,2019-01-01,imports,8144
Senegal,2020-01-01,imports,7812
Senegal,2021-01-01,imports,9699
Senegal,1995-01-01,exports,412
Senegal,2005-01-01,exports,1471
Senegal,2010-01-01,exports,2086
Senegal,2015-01-01,exports,2612
Senegal,2019-01-01,exports,4179
Senegal,2020-01-01,exports,3929
Senegal,2021-01-01,exports,5202
Senegal,1995-01-01,balance_import_export,-1001
Senegal,2005-01-01,balance_import_export,-2027
Senegal,2010-01-01,balance_import_export,-2691
Senegal,2015-01-01,balance_import_export,-2984
Senegal,2019-01-01,balance_import_export,-3965
Senegal,2020-01-01,balance_import_export,-3883
Senegal,2021-01-01,balance_import_export,-4497
Serbia,2010-01-01,imports,16735
Serbia,2015-01-01,imports,18210
Serbia,2019-01-01,imports,26730
Serbia,2020-01-01,imports,26228
Serbia,2021-01-01,imports,33791
Serbia,2010-01-01,exports,9795
Serbia,2015-01-01,exports,13379
Serbia,2019-01-01,exports,19633
Serbia,2020-01-01,exports,19501
Serbia,2021-01-01,exports,25564
Serbia,2010-01-01,balance_import_export,-6940
Serbia,2015-01-01,balance_import_export,-4831
Serbia,2019-01-01,balance_import_export,-7097
Serbia,2020-01-01,balance_import_export,-6727
Serbia,2021-01-01,balance_import_export,-8228
Serbia and Monten. [former],1995-01-01,imports,2666
Serbia and Monten. [former],2005-01-01,imports,11393
Serbia and Monten. [former],1995-01-01,exports,1531
Serbia and Monten. [former],2005-01-01,exports,4430
Serbia and Monten. [former],1995-01-01,balance_import_export,-1135
Serbia and Monten. [former],2005-01-01,balance_import_export,-6963
Seychelles,1995-01-01,imports,255
Seychelles,2005-01-01,imports,675
Seychelles,2010-01-01,imports,1180
Seychelles,2015-01-01,imports,975
Seychelles,2019-01-01,imports,1438
Seychelles,2020-01-01,imports,1494
Seychelles,2021-01-01,imports,1132
Seychelles,1995-01-01,exports,53
Seychelles,2005-01-01,exports,340
Seychelles,2010-01-01,exports,418
Seychelles,2015-01-01,exports,474
Seychelles,2019-01-01,exports,824
Seychelles,2020-01-01,exports,961
Seychelles,2021-01-01,exports,1075
Seychelles,1995-01-01,balance_import_export,-202
Seychelles,2005-01-01,balance_import_export,-335
Seychelles,2010-01-01,balance_import_export,-763
Seychelles,2015-01-01,balance_import_export,-501
Seychelles,2019-01-01,balance_import_export,-614
Seychelles,2020-01-01,balance_import_export,-533
Seychelles,2021-01-01,balance_import_export,-58
Sierra Leone,1995-01-01,imports,131
Sierra Leone,2005-01-01,imports,341
Sierra Leone,2010-01-01,imports,776
Sierra Leone,2015-01-01,imports,1759
Sierra Leone,2019-01-01,imports,1760
Sierra Leone,2020-01-01,imports,1112
Sierra Leone,2021-01-01,imports,1939
Sierra Leone,1995-01-01,exports,42
Sierra Leone,2005-01-01,exports,154
Sierra Leone,2010-01-01,exports,319
Sierra Leone,2015-01-01,exports,93
Sierra Leone,2019-01-01,exports,289
Sierra Leone,2020-01-01,exports,219
Sierra Leone,2021-01-01,exports,263
Sierra Leone,1995-01-01,balance_import_export,-89
Sierra Leone,2005-01-01,balance_import_export,-187
Sierra Leone,2010-01-01,balance_import_export,-457
Sierra Leone,2015-01-01,balance_import_export,-1666
Sierra Leone,2019-01-01,balance_import_export,-1471
Sierra Leone,2020-01-01,balance_import_export,-894
Sierra Leone,2021-01-01,balance_import_export,-1677
Singapore,1995-01-01,imports,124503
Singapore,2005-01-01,imports,200724
Singapore,2010-01-01,imports,313071
Singapore,2015-01-01,imports,308122
Singapore,2019-01-01,imports,358975
Singapore,2020-01-01,imports,328624
Singapore,2021-01-01,imports,555098
Singapore,1995-01-01,exports,118263
Singapore,2005-01-01,exports,230344
Singapore,2010-01-01,exports,353240
Singapore,2015-01-01,exports,357941
Singapore,2019-01-01,exports,390332
Singapore,2020-01-01,exports,373684
Singapore,2021-01-01,exports,643131
Singapore,1995-01-01,balance_import_export,-6240
Singapore,2005-01-01,balance_import_export,29619
Singapore,2010-01-01,balance_import_export,40169
Singapore,2015-01-01,balance_import_export,49820
Singapore,2019-01-01,balance_import_export,31357
Singapore,2020-01-01,balance_import_export,45059
Singapore,2021-01-01,balance_import_export,88033
Slovakia,1995-01-01,imports,8162
Slovakia,2005-01-01,imports,34226
Slovakia,2010-01-01,imports,65644
Slovakia,2015-01-01,imports,73053
Slovakia,2019-01-01,imports,90908
Slovakia,2020-01-01,imports,84998
Slovakia,2021-01-01,imports,104682
Slovakia,1995-01-01,exports,8374
Slovakia,2005-01-01,exports,32210
Slovakia,2010-01-01,exports,65306
Slovakia,2015-01-01,exports,74970
Slovakia,2019-01-01,exports,89909
Slovakia,2020-01-01,exports,86708
Slovakia,2021-01-01,exports,104360
Slovakia,1995-01-01,balance_import_export,212
Slovakia,2005-01-01,balance_import_export,-2016
Slovakia,2010-01-01,balance_import_export,-338
Slovakia,2015-01-01,balance_import_export,1916
Slovakia,2019-01-01,balance_import_export,-999
Slovakia,2020-01-01,balance_import_export,1709
Slovakia,2021-01-01,balance_import_export,-322
Slovenia,1995-01-01,imports,9492
Slovenia,2005-01-01,imports,19626
Slovenia,2010-01-01,imports,26592
Slovenia,2015-01-01,imports,25870
Slovenia,2019-01-01,imports,38162
Slovenia,2020-01-01,imports,36513
Slovenia,2021-01-01,imports,49607
Slovenia,1995-01-01,exports,8316
Slovenia,2005-01-01,exports,17896
Slovenia,2010-01-01,exports,24435
Slovenia,2015-01-01,exports,26587
Slovenia,2019-01-01,exports,37575
Slovenia,2020-01-01,exports,37471
Slovenia,2021-01-01,exports,46773
Slovenia,1995-01-01,balance_import_export,-1176
Slovenia,2005-01-01,balance_import_export,-1730
Slovenia,2010-01-01,balance_import_export,-2157
Slovenia,2015-01-01,balance_import_export,717
Slovenia,2019-01-01,balance_import_export,-587
Slovenia,2020-01-01,balance_import_export,958
Slovenia,2021-01-01,balance_import_export,-2834
Solomon Islands,1995-01-01,imports,154
Solomon Islands,2005-01-01,imports,139
Solomon Islands,2010-01-01,imports,328
Solomon Islands,2015-01-01,imports,466
Solomon Islands,2019-01-01,imports,554
Solomon Islands,2020-01-01,imports,444
Solomon Islands,2021-01-01,imports,574
Solomon Islands,1995-01-01,exports,168
Solomon Islands,2005-01-01,exports,70
Solomon Islands,2010-01-01,exports,215
Solomon Islands,2015-01-01,exports,400
Solomon Islands,2019-01-01,exports,448
Solomon Islands,2020-01-01,exports,371
Solomon Islands,2021-01-01,exports,356
Solomon Islands,1995-01-01,balance_import_export,14
Solomon Islands,2005-01-01,balance_import_export,-68
Solomon Islands,2010-01-01,balance_import_export,-112
Solomon Islands,2015-01-01,balance_import_export,-65
Solomon Islands,2019-01-01,balance_import_export,-106
Solomon Islands,2020-01-01,balance_import_export,-73
Solomon Islands,2021-01-01,balance_import_export,-218
Somalia,1995-01-01,imports,38
Somalia,2005-01-01,imports,469
Somalia,2010-01-01,imports,496
Somalia,2015-01-01,imports,525
Somalia,2019-01-01,imports,3078
Somalia,2020-01-01,imports,3262
Somalia,2021-01-01,imports,3675
Somalia,1995-01-01,exports,38
Somalia,2005-01-01,exports,379
Somalia,2010-01-01,exports,568
Somalia,2015-01-01,exports,853
Somalia,2019-01-01,exports,643
Somalia,2020-01-01,exports,530
Somalia,2021-01-01,exports,610
Somalia,1995-01-01,balance_import_export,0
Somalia,2005-01-01,balance_import_export,-90
Somalia,2010-01-01,balance_import_export,72
Somalia,2015-01-01,balance_import_export,328
Somalia,2019-01-01,balance_import_export,-2436
Somalia,2020-01-01,balance_import_export,-2732
Somalia,2021-01-01,balance_import_export,-3065
South Africa,2005-01-01,imports,55033
South Africa,2010-01-01,imports,83100
South Africa,2015-01-01,imports,85511
South Africa,2019-01-01,imports,88037
South Africa,2020-01-01,imports,68943
South Africa,2021-01-01,imports,96726
South Africa,2005-01-01,exports,46991
South Africa,2010-01-01,exports,82631
South Africa,2015-01-01,exports,80264
South Africa,2019-01-01,exports,89396
South Africa,2020-01-01,exports,85227
South Africa,2021-01-01,exports,125189
South Africa,2005-01-01,balance_import_export,-8042
South Africa,2010-01-01,balance_import_export,-469
South Africa,2015-01-01,balance_import_export,-5246
South Africa,2019-01-01,balance_import_export,1358
South Africa,2020-01-01,balance_import_export,16284
South Africa,2021-01-01,balance_import_export,28462
South Sudan,2015-01-01,imports,635
South Sudan,2019-01-01,imports,825
South Sudan,2020-01-01,imports,1019
South Sudan,2021-01-01,imports,1082
South Sudan,2015-01-01,exports,3103
South Sudan,2019-01-01,exports,1613
South Sudan,2020-01-01,exports,783
South Sudan,2021-01-01,exports,490
South Sudan,2015-01-01,balance_import_export,2468
South Sudan,2019-01-01,balance_import_export,788
South Sudan,2020-01-01,balance_import_export,-236
South Sudan,2021-01-01,balance_import_export,-593
Spain,1995-01-01,imports,113399
Spain,2005-01-01,imports,289611
Spain,2010-01-01,imports,315547
Spain,2015-01-01,imports,304708
Spain,2019-01-01,imports,375485
Spain,2020-01-01,imports,329739
Spain,2021-01-01,imports,426060
Spain,1995-01-01,exports,89616
Spain,2005-01-01,exports,192798
Spain,2010-01-01,exports,246265
Spain,2015-01-01,exports,276959
Spain,2019-01-01,exports,337215
Spain,2020-01-01,exports,312081
Spain,2021-01-01,exports,391559
Spain,1995-01-01,balance_import_export,-23783
Spain,2005-01-01,balance_import_export,-96812
Spain,2010-01-01,balance_import_export,-69282
Spain,2015-01-01,balance_import_export,-27750
Spain,2019-01-01,balance_import_export,-38270
Spain,2020-01-01,balance_import_export,-17658
Spain,2021-01-01,balance_import_export,-34501
Sri Lanka,1995-01-01,imports,4756
Sri Lanka,2005-01-01,imports,8307
Sri Lanka,2010-01-01,imports,12354
Sri Lanka,2015-01-01,imports,18967
Sri Lanka,2019-01-01,imports,19474
Sri Lanka,2020-01-01,imports,15607
Sri Lanka,2021-01-01,imports,21502
Sri Lanka,1995-01-01,exports,3790
Sri Lanka,2005-01-01,exports,6160
Sri Lanka,2010-01-01,exports,8304
Sri Lanka,2015-01-01,exports,10440
Sri Lanka,2019-01-01,exports,11974
Sri Lanka,2020-01-01,exports,10707
Sri Lanka,2021-01-01,exports,13331
Sri Lanka,1995-01-01,balance_import_export,-966
Sri Lanka,2005-01-01,balance_import_export,-2147
Sri Lanka,2010-01-01,balance_import_export,-4050
Sri Lanka,2015-01-01,balance_import_export,-8528
Sri Lanka,2019-01-01,balance_import_export,-7500
Sri Lanka,2020-01-01,balance_import_export,-4900
Sri Lanka,2021-01-01,balance_import_export,-8171
State of Palestine,2005-01-01,imports,2668
State of Palestine,2010-01-01,imports,3959
State of Palestine,2015-01-01,imports,5225
State of Palestine,2019-01-01,imports,6613
State of Palestine,2020-01-01,imports,6063
State of Palestine,2021-01-01,imports,6526
State of Palestine,2005-01-01,exports,335
State of Palestine,2010-01-01,exports,576
State of Palestine,2015-01-01,exports,958
State of Palestine,2019-01-01,exports,1104
State of Palestine,2020-01-01,exports,1055
State of Palestine,2021-01-01,exports,1379
State of Palestine,2005-01-01,balance_import_export,-2332
State of Palestine,2010-01-01,balance_import_export,-3383
State of Palestine,2015-01-01,balance_import_export,-4268
State of Palestine,2019-01-01,balance_import_export,-5510
State of Palestine,2020-01-01,balance_import_export,-5009
State of Palestine,2021-01-01,balance_import_export,-5147
Sudan,2015-01-01,imports,8413
Sudan,2019-01-01,imports,14212
Sudan,2020-01-01,imports,10406
Sudan,2021-01-01,imports,9676
Sudan,2015-01-01,exports,5588
Sudan,2019-01-01,exports,2629
Sudan,2020-01-01,exports,1955
Sudan,2021-01-01,exports,1913
Sudan,2015-01-01,balance_import_export,-2826
Sudan,2019-01-01,balance_import_export,-11583
Sudan,2020-01-01,balance_import_export,-8451
Sudan,2021-01-01,balance_import_export,-7763
Sudan [former],1995-01-01,imports,1185
Sudan [former],2005-01-01,imports,7367
Sudan [former],2010-01-01,imports,11875
Sudan [former],1995-01-01,exports,685
Sudan [former],2005-01-01,exports,4506
Sudan [former],2010-01-01,exports,11529
Sudan [former],1995-01-01,balance_import_export,-500
Sudan [former],2005-01-01,balance_import_export,-2861
Sudan [former],2010-01-01,balance_import_export,-346
Suriname,1995-01-01,imports,583
Suriname,2005-01-01,imports,1050
Suriname,2010-01-01,imports,1397
Suriname,2015-01-01,imports,1904
Suriname,2019-01-01,imports,1711
Suriname,2020-01-01,imports,1533
Suriname,2021-01-01,imports,1381
Suriname,1995-01-01,exports,483
Suriname,2005-01-01,exports,997
Suriname,2010-01-01,exports,2026
Suriname,2015-01-01,exports,1814
Suriname,2019-01-01,exports,2155
Suriname,2020-01-01,exports,2193
Suriname,2021-01-01,exports,1513
Suriname,1995-01-01,balance_import_export,-100
Suriname,2005-01-01,balance_import_export,-53
Suriname,2010-01-01,balance_import_export,628
Suriname,2015-01-01,balance_import_export,-90
Suriname,2019-01-01,balance_import_export,444
Suriname,2020-01-01,balance_import_export,660
Suriname,2021-01-01,balance_import_export,132
Sweden,1995-01-01,imports,61647
Sweden,2005-01-01,imports,111351
Sweden,2010-01-01,imports,148788
Sweden,2015-01-01,imports,138361
Sweden,2019-01-01,imports,158958
Sweden,2020-01-01,imports,149436
Sweden,2021-01-01,imports,187116
Sweden,1995-01-01,exports,77436
Sweden,2005-01-01,exports,130264
Sweden,2010-01-01,exports,158411
Sweden,2015-01-01,exports,140001
Sweden,2019-01-01,exports,160531
Sweden,2020-01-01,exports,154936
Sweden,2021-01-01,exports,189845
Sweden,1995-01-01,balance_import_export,15790
Sweden,2005-01-01,balance_import_export,18912
Sweden,2010-01-01,balance_import_export,9622
Sweden,2015-01-01,balance_import_export,1641
Sweden,2019-01-01,balance_import_export,1573
Sweden,2020-01-01,balance_import_export,5499
Sweden,2021-01-01,balance_import_export,2729
Switzerland,1995-01-01,imports,80152
Switzerland,2005-01-01,imports,126574
Switzerland,2010-01-01,imports,176281
Switzerland,2015-01-01,imports,253152
Switzerland,2019-01-01,imports,276388
Switzerland,2020-01-01,imports,290402
Switzerland,2021-01-01,imports,321934
Switzerland,1995-01-01,exports,81641
Switzerland,2005-01-01,exports,130930
Switzerland,2010-01-01,exports,195609
Switzerland,2015-01-01,exports,291959
Switzerland,2019-01-01,exports,313686
Switzerland,2020-01-01,exports,318580
Switzerland,2021-01-01,exports,379457
Switzerland,1995-01-01,balance_import_export,1489
Switzerland,2005-01-01,balance_import_export,4356
Switzerland,2010-01-01,balance_import_export,19329
Switzerland,2015-01-01,balance_import_export,38807
Switzerland,2019-01-01,balance_import_export,37298
Switzerland,2020-01-01,balance_import_export,28178
Switzerland,2021-01-01,balance_import_export,57523
Syrian Arab Republic,1995-01-01,imports,4645
Syrian Arab Republic,2005-01-01,imports,7898
Syrian Arab Republic,2010-01-01,imports,17562
Syrian Arab Republic,2015-01-01,imports,3206
Syrian Arab Republic,2019-01-01,imports,6697
Syrian Arab Republic,2020-01-01,imports,5299
Syrian Arab Republic,2021-01-01,imports,6448
Syrian Arab Republic,1995-01-01,exports,3561
Syrian Arab Republic,2005-01-01,exports,6450
Syrian Arab Republic,2010-01-01,exports,11353
Syrian Arab Republic,2015-01-01,exports,1688
Syrian Arab Republic,2019-01-01,exports,526
Syrian Arab Republic,2020-01-01,exports,850
Syrian Arab Republic,2021-01-01,exports,821
Syrian Arab Republic,1995-01-01,balance_import_export,-1084
Syrian Arab Republic,2005-01-01,balance_import_export,-1448
Syrian Arab Republic,2010-01-01,balance_import_export,-6209
Syrian Arab Republic,2015-01-01,balance_import_export,-1518
Syrian Arab Republic,2019-01-01,balance_import_export,-6171
Syrian Arab Republic,2020-01-01,balance_import_export,-4449
Syrian Arab Republic,2021-01-01,balance_import_export,-5628
Tajikistan,1995-01-01,imports,809
Tajikistan,2005-01-01,imports,1329
Tajikistan,2010-01-01,imports,2659
Tajikistan,2015-01-01,imports,3435
Tajikistan,2019-01-01,imports,3327
Tajikistan,2020-01-01,imports,3139
Tajikistan,2021-01-01,imports,4356
Tajikistan,1995-01-01,exports,748
Tajikistan,2005-01-01,exports,905
Tajikistan,2010-01-01,exports,1206
Tajikistan,2015-01-01,exports,891
Tajikistan,2019-01-01,exports,892
Tajikistan,2020-01-01,exports,718
Tajikistan,2021-01-01,exports,1091
Tajikistan,1995-01-01,balance_import_export,-61
Tajikistan,2005-01-01,balance_import_export,-424
Tajikistan,2010-01-01,balance_import_export,-1453
Tajikistan,2015-01-01,balance_import_export,-2544
Tajikistan,2019-01-01,balance_import_export,-2435
Tajikistan,2020-01-01,balance_import_export,-2421
Tajikistan,2021-01-01,balance_import_export,-3264
Thailand,1995-01-01,imports,70781
Thailand,2005-01-01,imports,118164
Thailand,2010-01-01,imports,182393
Thailand,2015-01-01,imports,202642
Thailand,2019-01-01,imports,216805
Thailand,2020-01-01,imports,207696
Thailand,2021-01-01,imports,274271
Thailand,1995-01-01,exports,56439
Thailand,2005-01-01,exports,110110
Thailand,2010-01-01,exports,195312
Thailand,2015-01-01,exports,214309
Thailand,2019-01-01,exports,233674
Thailand,2020-01-01,exports,231388
Thailand,2021-01-01,exports,265034
Thailand,1995-01-01,balance_import_export,-14341
Thailand,2005-01-01,balance_import_export,-8054
Thailand,2010-01-01,balance_import_export,12918
Thailand,2015-01-01,balance_import_export,11667
Thailand,2019-01-01,balance_import_export,16870
Thailand,2020-01-01,balance_import_export,23692
Thailand,2021-01-01,balance_import_export,-9237
Timor-Leste,1995-01-01,imports,112
Timor-Leste,2005-01-01,imports,102
Timor-Leste,2010-01-01,imports,246
Timor-Leste,2015-01-01,imports,578
Timor-Leste,2019-01-01,imports,774
Timor-Leste,2020-01-01,imports,1206
Timor-Leste,2021-01-01,imports,1094
Timor-Leste,1995-01-01,exports,34
Timor-Leste,2005-01-01,exports,43
Timor-Leste,2010-01-01,exports,42
Timor-Leste,2015-01-01,exports,45
Timor-Leste,2019-01-01,exports,75
Timor-Leste,2020-01-01,exports,59
Timor-Leste,2021-01-01,exports,507
Timor-Leste,1995-01-01,balance_import_export,-78
Timor-Leste,2005-01-01,balance_import_export,-58
Timor-Leste,2010-01-01,balance_import_export,-205
Timor-Leste,2015-01-01,balance_import_export,-533
Timor-Leste,2019-01-01,balance_import_export,-699
Timor-Leste,2020-01-01,balance_import_export,-1146
Timor-Leste,2021-01-01,balance_import_export,-587
Togo,1995-01-01,imports,556
Togo,2005-01-01,imports,593
Togo,2010-01-01,imports,1350
Togo,2015-01-01,imports,1877
Togo,2019-01-01,imports,1787
Togo,2020-01-01,imports,2172
Togo,2021-01-01,imports,2863
Togo,1995-01-01,exports,383
Togo,2005-01-01,exports,360
Togo,2010-01-01,exports,741
Togo,2015-01-01,exports,792
Togo,2019-01-01,exports,1011
Togo,2020-01-01,exports,974
Togo,2021-01-01,exports,1080
Togo,1995-01-01,balance_import_export,-174
Togo,2005-01-01,balance_import_export,-233
Togo,2010-01-01,balance_import_export,-609
Togo,2015-01-01,balance_import_export,-1085
Togo,2019-01-01,balance_import_export,-776
Togo,2020-01-01,balance_import_export,-1198
Togo,2021-01-01,balance_import_export,-1784
Tokelau,1995-01-01,imports,1
Tokelau,2005-01-01,imports,1
Tokelau,2010-01-01,imports,1
Tokelau,2015-01-01,imports,1
Tokelau,2019-01-01,imports,1
Tokelau,2020-01-01,imports,1
Tokelau,2021-01-01,imports,1
Tokelau,1995-01-01,exports,0
Tokelau,2005-01-01,exports,0
Tokelau,2010-01-01,exports,0
Tokelau,2015-01-01,exports,0
Tokelau,2019-01-01,exports,0
Tokelau,2020-01-01,exports,0
