T22,"Total imports, exports and balance of trade",,,,,,,
Region/Country/Area,,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
15,Northern Africa,2005,Balance imports/exports (millions of US dollars),,,"26,533",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2010,Balance imports/exports (millions of US dollars),,,"-15,603",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2015,Balance imports/exports (millions of US dollars),,,"-96,714",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2019,Balance imports/exports (millions of US dollars),,,"-81,287",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2020,Balance imports/exports (millions of US dollars),,,"-79,963",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
15,Northern Africa,2021,Balance imports/exports (millions of US dollars),,,"-45,268",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,1995,Imports CIF (millions of US dollars),,,"69,290",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2005,Imports CIF (millions of US dollars),,,"158,657",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2010,Imports CIF (millions of US dollars),,,"287,288",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2015,Imports CIF (millions of US dollars),,,"341,970",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2019,Imports CIF (millions of US dollars),,,"340,274",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2020,Imports CIF (millions of US dollars),,,"315,718",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2021,Imports CIF (millions of US dollars),,,"378,168",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,1995,Exports FOB (millions of US dollars),,,"70,417",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2005,Exports FOB (millions of US dollars),,,"192,552",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2010,Exports FOB (millions of US dollars),,,"331,050",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2015,Exports FOB (millions of US dollars),,,"294,142",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2019,Exports FOB (millions of US dollars),,,"320,337",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2020,Exports FOB (millions of US dollars),,,"287,910",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2021,Exports FOB (millions of US dollars),,,"384,688",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,1995,Balance imports/exports (millions of US dollars),,,"1,127",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2005,Balance imports/exports (millions of US dollars),,,"33,895",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2010,Balance imports/exports (millions of US dollars),,,"43,762",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2015,Balance imports/exports (millions of US dollars),,,"-47,827",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2019,Balance imports/exports (millions of US dollars),,,"-19,937",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2020,Balance imports/exports (millions of US dollars),,,"-27,808",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
202,Sub-Saharan Africa,2021,Balance imports/exports (millions of US dollars),,,"6,520",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,1995,Imports CIF (millions of US dollars),,,"17,980",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2005,Imports CIF (millions of US dollars),,,"31,243",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2010,Imports CIF (millions of US dollars),,,"62,688",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2015,Imports CIF (millions of US dollars),,,"94,477",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2019,Imports CIF (millions of US dollars),,,"92,541",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2020,Imports CIF (millions of US dollars),,,"86,086",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2021,Imports CIF (millions of US dollars),,,"98,003",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,1995,Exports FOB (millions of US dollars),,,"9,499",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2005,Exports FOB (millions of US dollars),,,"16,297",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2010,Exports FOB (millions of US dollars),,,"31,652",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2015,Exports FOB (millions of US dollars),,,"40,742",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2019,Exports FOB (millions of US dollars),,,"43,717",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2020,Exports FOB (millions of US dollars),,,"44,458",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2021,Exports FOB (millions of US dollars),,,"51,965",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,1995,Balance imports/exports (millions of US dollars),,,"-8,481",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2005,Balance imports/exports (millions of US dollars),,,"-14,945",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2010,Balance imports/exports (millions of US dollars),,,"-31,036",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2015,Balance imports/exports (millions of US dollars),,,"-53,735",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2019,Balance imports/exports (millions of US dollars),,,"-48,824",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2020,Balance imports/exports (millions of US dollars),,,"-41,628",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
14,Eastern Africa,2021,Balance imports/exports (millions of US dollars),,,"-46,038",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
17,Middle Africa,1995,Imports CIF (millions of US dollars),,,"5,412",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
17,Middle Africa,2005,Imports CIF (millions of US dollars),,,"18,680",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
17,Middle Africa,2010,Imports CIF (millions of US dollars),,,"43,623",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
17,Middle Africa,2015,Imports CIF (millions of US dollars),,,"56,081",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
17,Middle Africa,2019,Imports CIF (millions of US dollars),,,"36,035",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
17,Middle Africa,2020,Imports CIF (millions of US dollars),,,"29,360",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
17,Middle Africa,2021,Imports CIF (millions of US dollars),,,"37,474",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
