,country_code,year,paper_pulp_prod_tonnes,paper_pulp_export_tonnes,paper_pulp_import_tonnes,wood_pulp_production_tonnes,wood_pulp_export_tonnes,wood_pulp_import_tonnes,paper_price,wood_pulp_price
107,CHN,2020,18275201.0,21889.0,149752.0,15000.0,488.0,104233.0,190.98333333333335,141.64166666666668
108,CHN,2020,18275201.0,21889.0,0.0,14865201.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
109,CHN,2020,18275201.0,21889.0,0.0,14865201.0,182958.0,149703.0,190.98333333333335,141.64166666666668
110,CHN,2020,18275201.0,21889.0,0.0,14865201.0,182958.0,104233.0,190.98333333333335,141.64166666666668
111,CHN,2020,18275201.0,21889.0,0.0,14865201.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
112,CHN,2020,18275201.0,21889.0,0.0,14865201.0,21696.0,149703.0,190.98333333333335,141.64166666666668
113,CHN,2020,18275201.0,21889.0,0.0,14865201.0,21696.0,104233.0,190.98333333333335,141.64166666666668
114,CHN,2020,18275201.0,21889.0,0.0,14865201.0,488.0,29882525.0,190.98333333333335,141.64166666666668
115,CHN,2020,18275201.0,21889.0,0.0,14865201.0,488.0,149703.0,190.98333333333335,141.64166666666668
116,CHN,2020,18275201.0,21889.0,0.0,14865201.0,488.0,104233.0,190.98333333333335,141.64166666666668
117,CHN,2020,18275201.0,21889.0,0.0,15000.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
118,CHN,2020,18275201.0,21889.0,0.0,15000.0,182958.0,149703.0,190.98333333333335,141.64166666666668
119,CHN,2020,18275201.0,21889.0,0.0,15000.0,182958.0,104233.0,190.98333333333335,141.64166666666668
120,CHN,2020,18275201.0,21889.0,0.0,15000.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
121,CHN,2020,18275201.0,21889.0,0.0,15000.0,21696.0,149703.0,190.98333333333335,141.64166666666668
122,CHN,2020,18275201.0,21889.0,0.0,15000.0,21696.0,104233.0,190.98333333333335,141.64166666666668
123,CHN,2020,18275201.0,21889.0,0.0,15000.0,488.0,29882525.0,190.98333333333335,141.64166666666668
124,CHN,2020,18275201.0,21889.0,0.0,15000.0,488.0,149703.0,190.98333333333335,141.64166666666668
125,CHN,2020,18275201.0,21889.0,0.0,15000.0,488.0,104233.0,190.98333333333335,141.64166666666668
126,CHN,2020,18275201.0,0.0,26519807.0,14865201.0,182958.0,29882525.0,190.98333333333335,141.64166666666668
127,CHN,2020,18275201.0,0.0,26519807.0,14865201.0,182958.0,149703.0,190.98333333333335,141.64166666666668
128,CHN,2020,18275201.0,0.0,26519807.0,14865201.0,182958.0,104233.0,190.98333333333335,141.64166666666668
129,CHN,2020,18275201.0,0.0,26519807.0,14865201.0,21696.0,29882525.0,190.98333333333335,141.64166666666668
130,CHN,2020,18275201.0,0.0,26519807.0,14865201.0,21696.0,149703.0,190.98333333333335,141.64166666666668
131,CHN,2020,18275201.0,0.0,26519807.0,14865201.0,21696.0,104233.0,190.98333333333335,141.64166666666668
