country_code,year,paper_pulp_export_tonnes
COG,2005,0
COG,2004,0
COG,2003,0
COG,2002,0
COG,2001,0
COG,2000,0
COG,1999,0
COG,1998,0
COG,1997,0
COG,1996,0
COG,1995,0
COG,1994,0
COG,1993,0
CRI,2020,12
CRI,2019,17
CRI,2018,54
CRI,2017,22
CRI,2016,387
CRI,2015,406
CRI,2014,332
CRI,2013,176
CRI,2012,198
CRI,2011,158
CRI,2010,103
CRI,2009,32
CRI,2008,128
CRI,2007,175
CRI,2006,300
CRI,2005,33
CRI,2004,33
CRI,2003,0
CRI,2002,0
CRI,2001,0
CRI,2000,0
CRI,1999,0
CRI,1998,0
CRI,1997,0
CRI,1996,0
CRI,1995,3
CRI,1994,3
CRI,1993,203
CRI,1992,1
HRV,2020,44510
HRV,2019,47365
HRV,2018,40242
HRV,2017,41194
HRV,2016,34168
HRV,2015,31629
HRV,2014,32262
HRV,2013,39716
HRV,2012,29007
HRV,2011,37004
HRV,2010,43001
HRV,2009,46002
HRV,2008,45000
HRV,2007,47000
HRV,2006,43000
HRV,2005,43000
HRV,2004,43000
HRV,2003,40000
HRV,2002,43000
HRV,2001,38000
HRV,2000,37000
HRV,1999,40100
HRV,1998,37100
HRV,1997,36500
HRV,1996,36000
HRV,1995,36700
HRV,1994,33289
HRV,1993,35290
HRV,1992,33118
CYP,2020,0
CYP,2019,0
CYP,2018,0
CYP,2017,0
CYP,2016,0
CYP,2015,0
CYP,2014,0
CYP,2013,0
CYP,2012,0
CYP,2011,0
CYP,2010,4
CYP,2009,0
CYP,2008,0
CYP,2007,0
CYP,2006,0
CYP,2005,0
CYP,2004,103
CYP,2003,39
CYP,2002,10
CYP,2001,0
CYP,2000,90
CYP,1999,0
CYP,1998,0
CYP,1997,0
CYP,1996,0
CYP,1995,0
CZE,2020,56069
CZE,2019,41865
CZE,2018,8663
CZE,2017,20702
CZE,2016,21320
CZE,2015,25597
CZE,2014,148152
CZE,2013,187191
CZE,2012,247010
CZE,2011,326146
CZE,2010,386008
CZE,2009,420405
CZE,2008,351279
CZE,2007,369200
CZE,2006,346422
CZE,2005,362580
CZE,2004,345040
CZE,2003,338000
CZE,2002,332000
CZE,2001,318000
CZE,2000,290000
CZE,1999,258100
CZE,1998,245300
CZE,1997,225000
CZE,1996,224700
CZE,1995,191000
CZE,1994,203296
CZE,1993,174296
DNK,2020,26263
DNK,2019,26263
DNK,2018,11014
DNK,2017,28343
DNK,2016,28343
DNK,2015,45886
DNK,2014,95122
DNK,2013,74242
DNK,2012,72521
DNK,2011,63097
DNK,2010,16833
DNK,2009,12509
DNK,2008,20450
DNK,2007,26935
DNK,2006,23972
DNK,2005,467
DNK,2004,816
DNK,2003,1663
DNK,2002,3099
DNK,2001,3084
DNK,2000,1800
DNK,1999,1000
DNK,1998,31000
DNK,1997,76500
DNK,1996,64200
DNK,1995,71200
DNK,1994,65300
DNK,1993,48281
DNK,1992,79423
DNK,1991,90900
DNK,1990,92000
DNK,1989,93300
DNK,1988,75000
DNK,1987,60200
DNK,1986,67700
DNK,1985,62900
DNK,1984,65400
DNK,1983,48700
DNK,1982,57700
DNK,1981,63700
DNK,1980,67400
DNK,1979,62400
DNK,1978,45000
DNK,1977,51200
DNK,1976,62500
DNK,1975,64700
DNK,1974,99500
DNK,1973,90300
DNK,1972,79900
DNK,1971,72500
DNK,1970,80600
DNK,1969,67600
DNK,1968,57600
DNK,1967,49600
DNK,1966,42600
DNK,1965,33800
DNK,1964,27600
DNK,1963,10700
DNK,1962,5000
DNK,1961,4700
DJI,2020,0
DJI,2019,0
DJI,2018,0
DJI,2017,0
DJI,2016,0
DJI,2015,0
DJI,2014,0
DJI,2013,18
DJI,2012,18
DJI,2011,18
DJI,2010,18
DJI,2009,18
DJI,2008,18
DJI,2007,21
DJI,2006,21
DJI,2005,0
DJI,2004,0
DJI,2003,0
DJI,2002,0
DJI,2001,0
DJI,2000,26
DJI,1999,26
DJI,1998,26
DJI,1997,0
DJI,1996,0
DJI,1995,0
DJI,1994,0
DMA,2020,1
DMA,2019,1
DMA,2018,1
DMA,2017,1
DMA,2016,1
DMA,2015,1
DMA,2014,1
DMA,2013,3
DMA,2012,3
DMA,2011,3
DMA,2010,3
DMA,2009,3
DMA,2008,3
DMA,2007,3
DMA,2006,3
DMA,2005,1
DMA,2004,1
DMA,2003,1
DMA,2002,1
DMA,2001,1
DMA,2000,1
DMA,1999,1
DOM,2020,1
DOM,2019,1
DOM,2018,1
DOM,2017,1
DOM,2016,5
ECU,2020,31
ECU,2019,90
ECU,2018,280
ECU,2017,104
ECU,2016,130
ECU,2015,1
ECU,2014,1
ECU,2013,60
ECU,2012,139
ECU,2011,159
ECU,2010,159
ECU,2009,260
ECU,2008,260
ECU,2007,260
ECU,2006,260
ECU,2005,260
ECU,2004,260
ECU,2003,0
ECU,2002,0
ECU,2001,0
ECU,2000,0
ECU,1999,0
ECU,1998,0
ECU,1997,0
ECU,1996,0
ECU,1995,0
ECU,1994,0
ECU,1993,427
ECU,1992,520
EGY,2020,377
EGY,2019,379
EGY,2018,298
EGY,2017,68
EGY,2016,56
EGY,2015,83
EGY,2014,50
EGY,2013,51
EGY,2012,161
EGY,2011,402
EGY,2010,704
EGY,2009,641
SLV,2020,0
SLV,2019,0
SLV,2018,546
SLV,2017,546
SLV,2016,1
SLV,2015,46
SLV,2014,43
SLV,2013,626
SLV,2012,619
SLV,2011,619
SLV,2010,619
SLV,2009,619
SLV,2008,619
SLV,2007,617
SLV,2006,725
SLV,2005,725
SLV,2004,725
SLV,2003,68
ERI,2020,157
ERI,2019,166
ERI,2018,166
ERI,2017,166
ERI,2016,166
ERI,2015,436
ERI,2014,436
ERI,2013,436
