country_code,year,paper_pulp_prod_tonnes
CZE,2015,439229
CZE,2014,445500
CZE,2013,459600
CZE,2012,691000
CZE,2011,703100
CZE,2010,721927
CZE,2009,732145
CZE,2008,701600
CZE,2007,782500
CZE,2006,766000
CZE,2005,757000
CZE,2004,736000
CZE,2003,721000
CZE,2002,702000
CZE,2001,685000
CZE,2000,638000
CZE,1999,567000
CZE,1998,569000
CZE,1997,514000
CZE,1996,491300
CZE,1995,520000
CZE,1994,512000
CZE,1993,676000
DNK,2020,4830
DNK,2019,4830
DNK,2018,4830
DNK,2017,4830
DNK,2016,4830
DNK,2015,4830
DNK,2014,64830
DNK,2013,54830
DNK,2012,59828
DNK,2011,39828
DNK,2010,7000
DNK,2009,5000
DNK,2008,5000
DNK,2007,0
DNK,2006,0
DNK,2005,0
DNK,2004,0
DNK,2003,0
DNK,2002,0
DNK,2001,0
DNK,2000,0
DNK,1999,0
DNK,1998,65000
DNK,1997,180000
DNK,1996,180000
DNK,1995,180000
DNK,1994,180000
DNK,1993,164000
DNK,1992,167000
DNK,1991,102000
DNK,1990,102000
DNK,1989,136000
DNK,1988,133000
DNK,1987,133000
DNK,1986,128000
DNK,1985,126000
DNK,1984,131000
DNK,1983,113000
DNK,1982,103000
DNK,1981,110000
DNK,1980,109000
DNK,1979,110000
DNK,1978,101000
DNK,1977,98000
DNK,1976,112000
DNK,1975,104000
DNK,1974,160000
DNK,1973,142000
DNK,1972,124300
DNK,1971,134900
DNK,1970,147500
DNK,1969,119900
DNK,1968,107200
DNK,1967,92500
DNK,1966,90500
DNK,1965,74100
DNK,1964,62100
DNK,1963,39100
DNK,1962,32800
DNK,1961,24400
ECU,2020,16000
ECU,2019,16000
ECU,2018,16000
ECU,2017,16000
ECU,2016,18000
ECU,2015,18000
ECU,2014,18000
ECU,2013,18000
ECU,2012,18000
ECU,2011,18000
ECU,2010,18000
ECU,2009,18000
ECU,2008,2000
ECU,2007,2000
ECU,2006,2000
ECU,2005,2000
ECU,2004,2000
ECU,2003,2000
ECU,2002,2200
